fetch_date,expiry,T,S,strike,option_type,bid,ask,mid,yf_iv,volume,open_interest
2025-03-14,2025-03-21,0.019178,590.0,470,call,118.67,122.28,120.48,0.32231,619,8047
2025-03-14,2025-03-21,0.019178,590.0,475,call,113.75,117.21,115.48,0.31719,397,3573
2025-03-14,2025-03-21,0.019178,590.0,480,call,108.83,112.14,110.49,0.3122,565,6780
2025-03-14,2025-03-21,0.019178,590.0,485,call,103.91,107.08,105.49,0.30732,664,9296
2025-03-14,2025-03-21,0.019178,590.0,490,call,98.99,102.01,100.5,0.30256,773,7730
2025-03-14,2025-03-21,0.019178,590.0,495,call,94.07,96.94,95.5,0.2979,746,3730
2025-03-14,2025-03-21,0.019178,590.0,500,call,89.15,91.87,90.51,0.29336,602,6622
2025-03-14,2025-03-21,0.019178,590.0,505,call,84.23,86.8,85.51,0.28892,100,1300
2025-03-14,2025-03-21,0.019178,590.0,510,call,79.31,81.73,80.52,0.28458,204,1428
2025-03-14,2025-03-21,0.019178,590.0,515,call,74.39,76.66,75.52,0.28034,730,4380
2025-03-14,2025-03-21,0.019178,590.0,520,call,69.47,71.59,70.53,0.2762,292,2044
2025-03-14,2025-03-21,0.019178,590.0,525,call,64.56,66.52,65.54,0.27215,251,3012
2025-03-14,2025-03-21,0.019178,590.0,530,call,59.64,61.46,60.55,0.2682,473,3311
2025-03-14,2025-03-21,0.019178,590.0,535,call,54.73,56.4,55.57,0.26433,810,5670
2025-03-14,2025-03-21,0.019178,590.0,540,call,49.83,51.35,50.59,0.26056,193,1544
2025-03-14,2025-03-21,0.019178,590.0,545,call,44.95,46.32,45.64,0.25687,84,672
2025-03-14,2025-03-21,0.019178,590.0,545,put,0.06,0.11,0.08,0.25687,84,672
2025-03-14,2025-03-21,0.019178,590.0,550,call,40.1,41.33,40.71,0.25326,485,6790
2025-03-14,2025-03-21,0.019178,590.0,550,put,0.13,0.18,0.16,0.25326,485,6790
2025-03-14,2025-03-21,0.019178,590.0,555,call,35.31,36.39,35.85,0.24974,332,2988
2025-03-14,2025-03-21,0.019178,590.0,555,put,0.26,0.31,0.28,0.24974,332,2988
2025-03-14,2025-03-21,0.019178,590.0,560,call,30.6,31.54,31.07,0.24629,1472,19136
2025-03-14,2025-03-21,0.019178,590.0,560,put,0.48,0.53,0.5,0.24629,1472,19136
2025-03-14,2025-03-21,0.019178,590.0,565,call,26.03,26.82,26.43,0.24293,547,6017
2025-03-14,2025-03-21,0.019178,590.0,565,put,0.83,0.88,0.85,0.24293,547,6017
2025-03-14,2025-03-21,0.019178,590.0,570,call,21.65,22.31,21.98,0.23964,841,5887
2025-03-14,2025-03-21,0.019178,590.0,570,put,1.38,1.43,1.4,0.23964,841,5887
2025-03-14,2025-03-21,0.019178,590.0,575,call,17.54,18.07,17.8,0.23642,1013,14182
2025-03-14,2025-03-21,0.019178,590.0,575,put,2.19,2.25,2.22,0.23642,1013,14182
2025-03-14,2025-03-21,0.019178,590.0,580,call,13.77,14.19,13.98,0.23328,1656,11592
2025-03-14,2025-03-21,0.019178,590.0,580,put,3.34,3.45,3.39,0.23328,1656,11592
2025-03-14,2025-03-21,0.019178,590.0,585,call,10.44,10.76,10.6,0.23021,414,2484
2025-03-14,2025-03-21,0.019178,590.0,585,put,4.93,5.08,5.0,0.23021,414,2484
2025-03-14,2025-03-21,0.019178,590.0,590,call,7.59,7.82,7.71,0.22721,1795,17950
2025-03-14,2025-03-21,0.019178,590.0,590,put,7.0,7.21,7.11,0.22721,1795,17950
2025-03-14,2025-03-21,0.019178,590.0,595,call,5.27,5.43,5.35,0.22428,1417,18421
2025-03-14,2025-03-21,0.019178,590.0,595,put,9.6,9.89,9.74,0.22428,1417,18421
2025-03-14,2025-03-21,0.019178,590.0,600,call,3.47,3.58,3.52,0.22141,665,4655
2025-03-14,2025-03-21,0.019178,590.0,600,put,12.72,13.11,12.91,0.22141,665,4655
2025-03-14,2025-03-21,0.019178,590.0,605,call,2.16,2.22,2.19,0.21861,505,3535
2025-03-14,2025-03-21,0.019178,590.0,605,put,16.33,16.82,16.57,0.21861,505,3535
2025-03-14,2025-03-21,0.019178,590.0,610,call,1.25,1.3,1.28,0.21588,1221,10989
2025-03-14,2025-03-21,0.019178,590.0,610,put,20.35,20.97,20.66,0.21588,1221,10989
2025-03-14,2025-03-21,0.019178,590.0,615,call,0.67,0.72,0.69,0.2132,596,7748
2025-03-14,2025-03-21,0.019178,590.0,615,put,24.69,25.45,25.07,0.2132,596,7748
2025-03-14,2025-03-21,0.019178,590.0,620,call,0.33,0.38,0.35,0.21059,1377,17901
2025-03-14,2025-03-21,0.019178,590.0,620,put,29.27,30.17,29.72,0.21059,1377,17901
2025-03-14,2025-03-21,0.019178,590.0,625,call,0.14,0.19,0.16,0.20804,797,6376
